# Title : Trajectory directory file of the Argo global Data Assembly Center
# Description : The directory file describes all trajectory files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20080326002327
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,latitude_max,latitude_min,longitude_max,longitude_min,profiler_type,institution,date_update
aoml/1900767/1900767_traj.nc,7.995,5.711,-27.4833,-29.236,851,AO,20080322102423
aoml/1900772/1900772_traj.nc,-4.99867,-6.415,-13.673,-18.129,851,AO,20080320102410
aoml/1900773/1900773_traj.nc,-1.546,-2.487,-13.18,-15.575,851,AO,20080321102320
aoml/1900774/1900774_traj.nc,11.77,8.893,-20.333,-22.62,851,AO,20080322102425
aoml/1900775/1900775_traj.nc,19.722,17.601,-27.687,-30.254,851,AO,20080325102258
aoml/1900776/1900776_traj.nc,24.287,21.917,-31.894,-33.798,851,AO,20080325102259
aoml/1900782/1900782_traj.nc,-11.997,-13.38,-14.1402,-16.582,851,AO,20080319102723
aoml/1900783/1900783_traj.nc,-0.695,-3.006,-21.362,-25.194,851,AO,20080321102351
aoml/1900786/1900786_traj.nc,-43.471,-46.173,13.84,6.80733,851,AO,20080319102729
aoml/1900787/1900787_traj.nc,-46.336,-48.058,12.272,3.24267,851,AO,20080321102402
aoml/2900090/2900090_traj.nc,19.565,12.693,72.584,63.897,846,AO,20080324102113
aoml/2900104/2900104_traj.nc,18.448,0.05,60.059,48.332,846,AO,20080319101558
aoml/2900108/2900108_traj.nc,-51.331,-56.224,164.427,140.655,846,AO,20080320102404
aoml/2900110/2900110_traj.nc,-45.211,-49.604,150.851,143.272,846,AO,20080319102626
aoml/2900111/2900111_traj.nc,-58.054,-59.551,143.364,132.5,846,AO,20080322102420
aoml/2900112/2900112_traj.nc,-53.881,-57.849,142.804,135.532,846,AO,20080321102315
aoml/2900114/2900114_traj.nc,-63.204,-64.9317,119.342,114.783,846,AO,20080324102502
aoml/2900115/2900115_traj.nc,-63.877,-64.7583,129.445,124.456,846,AO,20080319102649
aoml/2900116/2900116_traj.nc,-63.68,-64.2767,116.75,114.786,846,AO,20080325102321
aoml/2900118/2900118_traj.nc,-64.3,-64.954,116.83,113.537,846,AO,20080324102504
aoml/2900119/2900119_traj.nc,-63.155,-64.299,117.663,111.043,846,AO,20080319102651
aoml/2900120/2900120_traj.nc,-63.332,-64.5517,117.787,112.847,846,AO,20080323102744
aoml/2900121/2900121_traj.nc,-63.411,-64.012,117.9,111.308,846,AO,20080319102654
aoml/2900122/2900122_traj.nc,-62.948,-64.1333,119.9,116.676,846,AO,20080319102656
aoml/2900123/2900123_traj.nc,-63.696,-64.2767,116.78,111.398,846,AO,20080325102323
aoml/2900124/2900124_traj.nc,-63.473,-65.1625,120.49,112.417,846,AO,20080324102508
aoml/2900125/2900125_traj.nc,-63.832,-64.96,117.183,113.785,846,AO,20080320102426
aoml/2900126/2900126_traj.nc,-64.034,-64.557,116.88,113.54,846,AO,20080324102510
aoml/2900127/2900127_traj.nc,-64.154,-64.602,127.969,125.085,846,AO,20080319102658
aoml/2900128/2900128_traj.nc,-63.359,-64.505,118.313,111.463,846,AO,20080320102428
